PARTIE 	 第一
jaune 	 黄色
Une 	 的
fumée 	 浓烟
par 	 从
porte 	 火门
échappait 	 涌出
. 	 。
intérieur 	 里面
de 	 的
tirs 	 喧闹声
et 	 和
cris 	 枪声
entendait 	 响
une 	 一
cacophonie 	 片
. 	 ，
Des 	 有人
individus 	 有人
travers 	 从
de 	 从
fumée 	 浓烟
fonçaient 	 冲
à 	 到
… 	 …
Wang 	 汪淼
Miao 	 汪淼
élancer 	 起身
s' 	 起身
pour 	 要
dans 	 冲回
salle 	 大厅
, 	 ，
l' 	 那名
explosifs 	 爆炸物
expert 	 家
bloqua 	 拦腰
attrapant 	 抱
: 	 。
— 	 “
Attention 	 当心
! 	 ！
radiations 	 放射性
! 	 ！
chaos 	 混乱
rapidement 	 很快
apaisa 	 平息
s' 	 了
. 	 ，
Une 	 有
dizaine 	 十几
de 	 名
OTT 	 三体
combattants 	 战士
été 	 被
abattus 	 击毙
. 	 ，
dont 	 包括
Ye 	 叶文洁
Wenjie 	 叶文洁
elle-même 	 在内
de 	 的
deux 	 二百
cents 	 二百
personnes 	 人
furent 	 被捕
arrêtées 	 被捕
. 	 。
bombe 	 核弹
fille 	 女孩
déchiqueté 	 炸
été 	 得
, 	 ，
mais 	 但
l' 	 这
de 	 的
explosion 	 核弹
seule 	 只
victime 	 死
elle 	 她
. 	 。
Shi 	 大史
Qiang 	 大史
venu 	 面前
L' 	 的
saisir 	 取信人
lettre 	 取信人
homme 	 取信人
était 	 被
grièvement 	 重伤
blessé 	 重伤
et 	 ，
avait 	 有
ce 	 这
humain 	 人
de 	 的
bouclier 	 遮挡
n' 	 只
servi 	 受
étaient 	 了
que 	 些
légères 	 轻伤
blessures 	 轻伤
. 	 。
Toutefois 	 但
il 	 他
comme 	 和
explosion 	 爆炸
après 	 后
restés 	 待
dans 	 在
cafétéria 	 大厅
qui 	 的
tous 	 其他
ceux 	 人
, 	 ，
été 	 受到
à 	 受到
gravement 	 严重
la 	 的
radioactive 	 放射性
contamination 	 沾染
. 	 。
Wang 	 汪淼
Miao 	 汪淼
travers 	 透过
ambulance 	 救护车
la 	 的
de 	 的
fenêtre 	 小窗
aperçut 	 看
Shi 	 大史
Qiang 	 大史
. 	 ，
crâne 	 头
sur 	 上
Une 	 一
profonde 	 道
entaille 	 伤
continuait 	 还
à 	 在
saigner 	 流血
. 	 ，
son 	 他
lui 	 他
bandage 	 包扎
L' 	 的
qui 	 的
infirmière 	 护士
portait 	 穿
antiradiation 	 透明
une 	 的
. 	 ，
Ils 	 和
durent 	 只能
par 	 用
téléphone 	 手机
parler 	 说话
. 	 。
— 	 “
la 	 那个
fille 	 女孩
était 	 是
Qui 	 谁
? 	 ？
Wang 	 汪淼问
Miao 	 汪淼问
demanda 	 汪淼问
. 	 。
Shi 	 大史
Qiang 	 大史
foutue 	 嘴
idée 	 笑
. 	 ，
— 	 “
Je 	 我
sa 	 他
hasard 	 知道
tapé 	 瞎猜
. 	 ，
ça 	 这样
Une 	 的
qu' 	 的
fille 	 女孩子
, 	 ，
longtemps 	 多半
pas 	 没
voir 	 见
mère 	 妈
. 	 。
je 	 我
fais 	 干
ce 	 这
job 	 行
vingt 	 二十
ans 	 年
, 	 ，
j' 	 就
appris 	 学会
à 	 了
comprendre 	 看
gens 	 人
. 	 。
— 	 “
Vous 	 你
aviez 	 真
juste 	 捣鬼
. 	 。
Wang 	 汪淼
Miao 	 汪淼
forçant 	 努力
à 	 地
sourire 	 笑
, 	 ，
espérant 	 希望
véhicule 	 车
travers 	 里
Qiang 	 大史
pourrait 	 能
voir 	 看到
. 	 。
— 	 “
vieux 	 老弟
est 	 还是
vous 	 你
qui 	 了
. 	 。
mon 	 大史
Qiang 	 大史
en 	 着
secouant 	 摇摇头
tête 	 摇摇头
n' 	 么
aviez 	 会
vu 	 想到
, 	 ，
que 	 ，
, 	 ，
Putain 	 竟然
jamais 	 竟然
aussi 	 真扯
parié 	 真扯
dans 	 到
extraterrestres 	 外星人
le 	 那儿
coup 	 那儿
! 	 ！
25 	 25
: 	 .
LEI 	 雷志成
ZHICHENG 	 雷志成
ET 	 、
YANG 	 杨卫宁
WEINING 	 杨卫宁
ENQUÊTEUR 	 审问者
et 	 ：
prénom 	 姓名
? 	 ？
YE 	 叶文洁
WENJIE 	 叶文洁
, 	 ：
Wenjie 	 叶文洁
. 	 。
ENQUÊTEUR 	 审问者
Date 	 审问者
L' 	 ：
naissance 	 出生
? 	 ？
YE 	 叶文洁
WENJIE 	 叶文洁
1947 	 1947年
Juin 	 6月
. 	 。
ENQUÊTEUR 	 审问者
L' 	 ：
Profession 	 职业
? 	 ？
YE 	 叶文洁
WENJIE 	 叶文洁
université 	 清华大学
physique 	 物理系
département 	 物理系
astrophysique 	 天体
professeur 	 教授
, 	 ，
2004 	 2004年
la 	 2004年
depuis 	 2004年
retraite 	 退休
. 	 。
ENQUÊTEUR 	 审问者
considération 	 鉴于
de 	 鉴于
votre 	 你
santé 	 身体
état 	 情况
, 	 ，
interrogatoire 	 谈话
durant 	 中
vous 	 你
avez 	 可以
l' 	 可以
autorisation 	 要求
pauses 	 暂停
. 	 。
YE 	 叶文洁
WENJIE 	 叶文洁
Merci 	 叶文洁
, 	 ，
pas 	 不
utile 	 用
. 	 。
Nous 	 我们
aujourd'hui 	 今天
effectué 	 进行
le 	 的
d' 	 的
est 	 是
ordinaire 	 普通
pénale 	 刑事
procédure 	 案件
affaires 	 案件
une 	 的
interrogatoire 	 调查
. 	 ，
n' 	 不
concernant 	 涉及
détail 	 高
les 	 的
. 	 ，
Ce 	 这
pas 	 不
est 	 是
notre 	 本次
enquête 	 调查
l' 	 的
principal 	 主要
élément 	 部分
et 	 ，
nous 	 我们
espérons 	 希望
rapidement 	 快
terminer 	 结束
. 	 ，
votre 	 你
pouvoir 	 能
collaboration 	 配合
. 	 。
YE 	 叶文洁
WENJIE 	 叶文洁
Je 	 我
sais 	 知道
vous 	 你
référence 	 指
quoi 	 什
. 	 ，
Je 	 我
collaborerai 	 会
. 	 。
investigation 	 调查
révélé 	 发现
que 	 ，
, 	 ，
à 	 在
Rouge 	 红岸
base 	 基地
travailliez 	 工作
période 	 期问
vous 	 你
été 	 有
de 	 有
meurtre 	 杀人
suspectée 	 嫌疑
. 	 。
YE 	 叶文洁
WENJIE 	 叶文洁
J' 	 我
tué 	 杀死
deux 	 两
personnes 	 人
. 	 。
ENQUÊTEUR 	 审问者
L' 	 ：
Date 	 时间
? 	 ？
YE 	 叶文洁
WENJIE 	 叶文洁
Le 	 ：
1979 	 1979年
octobre 	 10月
21 	 21日
. 	 。
ENQUÊTEUR 	 审问者
victimes 	 受害者
des 	 的
prénoms 	 姓名
? 	 ？
YE 	 叶文洁
WENJIE 	 叶文洁
Le 	 ：
politique 	 政委
commissaire 	 政委
Lei 	 雷志成
Zhicheng 	 雷志成
et 	 和
ingénieur 	 工程师
mon 	 我
époux 	 丈夫
Yang 	 扬卫宁
Weining 	 扬卫宁
. 	 。
ENQUÊTEUR 	 审问者
Veuillez 	 ：
exposer 	 讲述
nous 	 你
meurtres 	 作案
le 	 的
mobile 	 动机
. 	 。
YE 	 叶文洁
WENJIE 	 叶文洁
Je 	 我
… 	 …
suppose 	 假设
que 	 假设
vous 	 你
du 	 对
contexte 	 背景
été 	 有所
informé 	 解
? 	 ？
ENQUÊTEUR 	 审问者
. 	 ：
Si 	 基本
, 	 ，
interromprai 	 不
j' 	 的
ai 	 会
vous 	 会
questions 	 提问
. 	 。
YE 	 叶文洁
WENJIE 	 叶文洁
Bien 	 叶文洁
. 	 。
Le 	 在
reçu 	 接收
extraterrestre 	 外星
message 	 信息
puis 	 并
répondu 	 回信
jour 	 当天
, 	 ，
j' 	 我
appris 	 得知
lire 	 收到
ce 	 该
message 	 信息
n' 	 的
pas 	 不止
je 	 我
. 	 ，
Lei 	 雷志成
Zhicheng 	 雷志成
aussi 	 也
intercepté 	 收到
avait 	 了
. 	 。
Lei 	 雷政委
commissaire 	 雷政委
était 	 是
typique 	 典型
un 	 的
politique 	 政治
cadre 	 干部
. 	 ，
un 	 很
aigu 	 敏感
et 	 ，
utiliser 	 用
époque 	 当时
l' 	 的
expression 	 话
, 	 ，
de 	 就
classes 	 阶级斗争
lutte 	 阶级斗争
l' 	 这
lumière 	 弦
envisageait 	 绷
à 	 得
tout 	 紧
. 	 。
il 	 他
insu 	 背
Rouge 	 红岸
de 	 的
la 	 的
plupart 	 大部分
techniciens 	 技术
, 	 ，
dans 	 在
principal 	 主计算机
ordinateur 	 主计算机
installé 	 运行
avait 	 着
un 	 一个
programme 	 程序
. 	 。
Ce 	 这个
programme 	 程序
lisait 	 读取
transmis 	 发射
et 	 和
reçus 	 接收
des 	 的
signaux 	 信息
mémoire 	 缓冲区
tampon 	 缓冲区
et 	 并
stockait 	 将
de 	 的
contenu 	 内容
un 	 一个
caché 	 隐藏
crypté 	 加密
dossier 	 文件
dans 	 中
. 	 。
par 	 这样
conséquent 	 这样
, 	 ，
Rouge 	 红岸系
transmettait 	 发射
et 	 和
recevait 	 接收
Il 	 就
existait 	 有
une 	 一个
seul 	 只有
lui 	 他
mesure 	 能
consulter 	 读取
de 	 的
copie 	 备份
. 	 。
C' 	 正是
est 	 正是
grâce 	 从
cette 	 这个
copie 	 备份
qu' 	 ，
il 	 他
informé 	 发现
provenant 	 接收
extraterrestre 	 外星
civilisation 	 文明
message 	 信息
. 	 。
L' 	 在
j' 	 我
vers 	 向
le 	 的
soleil 	 太阳
envoyé 	 发出
message 	 信息
du 	 的
jour 	 当天
après-midi 	 下午
, 	 ，
ce 	 也
même 	 也
où 	 是
je 	 我
d' 	 从
venais 	 刚
apprendre 	 得知
j' 	 自己
enceinte 	 怀孕
, 	 ，
Lei 	 雷志成
Zhicheng 	 雷志成
m' 	 把
convoquée 	 叫
dans 	 到
son 	 他
bureau 	 办公室
. 	 。
J' 	 我
eu 	 看到
de 	 ，
son 	 他
sur 	 上
écran 	 屏幕
horreur 	 黯然
découvrir 	 显示
soir 	 昨夜
reçu 	 收到
Trisolaris 	 三体
le 	 的
message 	 信息
. 	 …
— 	 “
depuis 	 从
réception 	 接收
du 	 到
premier 	 第一
message 	 信息
Il 	 ，
est 	 已经
écoulé 	 过去
huit 	 八
heures 	 小时
. 	 。
tu 	 你
un 	 没有
rapport 	 报告
, 	 ，
lieu 	 反而
de 	 反而
message 	 信息
supprimé 	 删除
gardé 	 隐藏
une 	 起
en 	 来
as 	 了
, 	 ，
est 	 是
? 	 ？
. 	 ”
J' 	 我
baissé 	 低
la 	 着
tête 	 头
sans 	 没有
répondre 	 回答
. 	 。
— 	 “
ton 	 你
prochaine 	 下
la 	 的
plan 	 企图
Je 	 我
très 	 也
bien 	 清楚
: 	 ，
tu 	 你
intention 	 打算
répondre 	 回电
. 	 。
Si 	 如果
pas 	 不
t' 	 是
je 	 我
découverte 	 发现
à 	 得
temps 	 及时
, 	 ，
la 	 整个
humaine 	 人类
civilisation 	 文明
aurais 	 将
signé 	 毁
fin 	 毁
de 	 在
tu 	 你
tes 	 你
mains 	 手中
! 	 ！
Bien 	 当然
entendu 	 当然
, 	 ，
cela 	 这
pas 	 不
nous 	 我们
craignons 	 惧怕
extraterrestre 	 宇宙
une 	 的
invasion 	 入侵
. 	 ，
Même 	 真
si 	 的
arriver 	 发生
devait 	 了
, 	 ，
ennemies 	 侵略者
troupes 	 侵略者
seraient 	 会
submergées 	 淹没
par 	 于
peuple 	 人民战争
armé 	 人民战争
l' 	 的
océan 	 汪洋大海
! 	 ！
J' 	 我
compris 	 明白
ai 	 了
qu' 	 ，
il 	 他
ignorait 	 不
que 	 知道
j' 	 我
avais 	 已经
répondu 	 发出
message 	 回电
. 	 。
j' 	 我
avais 	 将
réponse 	 回答
enregistré 	 放
dans 	 入
transmission 	 发射
système 	 缓冲区
Lorsque 	 时
, 	 ，
utilisé 	 使用
n' 	 的
pas 	 不
avais 	 是
ordinaire 	 常规
interface 	 接口
. 	 ，
le 	 这
Sans 	 无意
vouloir 	 无意
échappé 	 中绕
avais 	 了
sa 	 他
surveillance 	 监视
. 	 。
— 	 “
Ye 	 叶文洁
Wenjie 	 叶文洁
, 	 ，
tu 	 你
serais 	 会
d' 	 做出
acte 	 事
. 	 ，
de 	 对于
révolution 	 党
et 	 和
prolétariat 	 人民
gravée 	 怀
est 	 有
profondément 	 刻骨
malveillant 	 刻骨
haine 	 仇恨
. 	 ，
ne 	 不
laisseras 	 会
passer 	 放过
une 	 一个
venger 	 报复
occasion 	 机会
. 	 。
tu 	 你
Connais 	 知道
ton 	 这样
les 	 的
conséquences 	 后果
? 	 ？
je 	 我
Bien 	 当然
entendu 	 当然
connaissais 	 知道
, 	 ，
donc 	 于是
hoché 	 点点
tête 	 头
Lei 	 雷志成
Zhicheng 	 雷志成
resté 	 雷志成
silencieux 	 沉默
, 	 ，
ensuite 	 下面
qu' 	 的
ce 	 话
totalement 	 却
été 	 出乎
inattendu 	 出乎
il 	 我
a 	 的
dit 	 预料
: 	 。
— 	 “
Ye 	 叶文洁
Wenjie 	 叶文洁
, 	 ，
je 	 我
ai 	 是
ne 	 不
portée 	 恻隐之心
cœur 	 恻隐之心
. 	 ，
Je 	 你
toujours 	 一直
comme 	 是
une 	 一个
du 	 与
peuple 	 人民
ennemie 	 敌人
. 	 。
Mais 	 但
et 	 与
Yang 	 杨卫宁
avons 	 是
des 	 多年
années 	 多年
ensemble 	 战友
. 	 ，
Je 	 我
refuse 	 不
voir 	 看
de 	 着
le 	 他
que 	 和
toi 	 你
en 	 一同
temps 	 一同
anéanti 	 毁掉
. 	 ，
ne 	 不
peux 	 能
laisser 	 看
votre 	 他
enfant 	 孩子
être 	 跟着
détruit 	 毁掉
. 	 ，
Tu 	 你
es 	 有
, 	 ，
n' 	 不
pas 	 不
est 	 是
? 	 ？
Il 	 他
cela 	 这话
ne 	 并非
pas 	 并非
hasard 	 随便
disait 	 说说
À 	 在
l' 	 那个
époque 	 年代
, 	 ，
gravité 	 性质
la 	 的
de 	 的
, 	 ，
quand 	 不
bien 	 管
mes 	 我
mon 	 我
époux 	 丈夫
dans 	 与
cette 	 此事
affaire 	 此事
avait 	 有
aucune 	 无关系
responsabilité 	 无关系
aurait 	 会
. 	 。
Et 	 当然
entendu 	 当然
aussi 	 还有
été 	 还有
touché 	 出世
, 	 的
notre 	 的
enfant 	 孩子
. 	 。
Lei 	 雷志成
Zhicheng 	 雷志成
baissé 	 压低
le 	 了
voix 	 声音
dit 	 说
: 	 ：
— 	 “
présent 	 目前
, 	 ，
ce 	 这
seules 	 只有
sommes 	 只有
nous 	 我们
deux 	 俩
savoir 	 知道
. 	 ，
devons 	 要
faire 	 做
pour 	 就是
minimiser 	 把
tes 	 这
actes 	 事情
les 	 的
conséquences 	 影响
, 	 ，
tu 	 你什
rien 	 你什
tout 	 么
occuperas 	 管
que 	 当
rien 	 这
n' 	 没有
jamais 	 没有
arrivé 	 发生
n' 	 不
tu 	 要
à 	 向
à 	 向
personne 	 任何人
personnes 	 任何人
parleras 	 挺起
, 	 ，
même 	 包括
Yang 	 杨卫宁
Weining 	 杨卫宁
. 	 。
reste 	 剩下
du 	 的
me 	 我
chargerai 	 处理
. 	 。
Wenjie 	 小叶
, 	 ，
tant 	 只要
que 	 只要
tu 	 你
coopéreras 	 配合
, 	 ，
pourrai 	 能
éviter 	 避免
pire 	 可怕
le 	 的
. 	 。
J' 	 我
tout 	 立刻
suite 	 立刻
compris 	 明白
avais 	 了
Lei 	 雷志成
Zhicheng 	 雷志成
que 	 的
ce 	 用心
: 	 ：
il 	 他
voulait 	 想
devenir 	 成为
premier 	 第一
le 	 个
découvert 	 发现
extraterrestre 	 外星
intelligence 	 文明
à 	 的
homme 	 人
. 	 ，
C' 	 这
était 	 是
une 	 一个
manuels 	 名垂青史
histoire 	 名垂青史
unique 	 绝
occasion 	 机会
. 	 。
J' 	 我
promis 	 答应
ai 	 了
, 	 ，
puis 	 然后
quitté 	 离开
bureau 	 办公室
. 	 ，
Mais 	 这时
je 	 我
déjà 	 已经
savais 	 决定
ce 	 一切
. 	 。
J' 	 我
pris 	 拿
une 	 一个
petite 	 小
clef 	 扳手
molette 	 扳手
et 	 ，
entrée 	 走
dans 	 进
réception 	 接收
système 	 系统
frontal 	 前端
le 	 的
local 	 间
ouvert 	 打开
base 	 主机柜
armoire 	 主机柜
et 	 ，
maintenaient 	 最
le 	 的
terre 	 接地线
fil 	 接地线
les 	 的
boulons 	 螺栓
desserré 	 拧松
ai 	 了
. 	 。
Comme 	 由于
je 	 我
fréquemment 	 时常
venais 	 需要
vérifier 	 检查
matériel 	 设备
, 	 ，
personne 	 谁
n' 	 没有
a 	 没有
remarqué 	 注意
je 	 我
faisais 	 干
ce 	 什
. 	 。
alors 	 这时
La 	 ，
terre 	 接地
valeur 	 电阻
de 	 由
0,6 	 0
ohm 	 欧姆
aussitôt 	 一下子
passée 	 上升
à 	 到
5 	 5
ohms 	 欧姆
, 	 ，
système 	 系统
des 	 的
perturbations 	 干扰
provoqué 	 骤然
. 	 。
service 	 值班
technicien 	 技术员
tout 	 立刻
suite 	 立刻
de 	 就
compris 	 知道
que 	 知道
venait 	 是
terre 	 接地线
fil 	 接地线
dysfonctionnement 	 故障
. 	 。
car 	 因为
ce 	 这种
genre 	 这种
incident 	 故障
passé 	 以前
plusieurs 	 多次
fois 	 多次
arrivé 	 发生
diagnostiquer 	 判断
C' 	 来
facile 	 容易
, 	 ，
mais 	 但
il 	 他
n' 	 不
pu 	 会
imaginer 	 想到
qu' 	 是
fil 	 线
extrémité 	 顶端
du 	 的
problème 	 故障
Celui 	 那里
ci 	 那里
maintenu 	 固结
était 	 很
fermement 	 好
et 	 ，
ne 	 没
personne 	 人
touchait 	 动
, 	 ，
autant 	 况且
que 	 况且
je 	 我
annoncer 	 说
tout 	 刚
vérifié 	 看
avais 	 了
. 	 。
Radar 	 雷达峰
pic 	 雷达峰
du 	 的
sol 	 顶部
était 	 是
argile 	 地质
dont 	 ，
recouvert 	 覆盖
d' 	 着
une 	 一
couche 	 层
épaisseur 	 厚
dizaines 	 十几
mètres 	 米
d' 	 的
conductivité 	 导电性
très 	 很
faible 	 差
. 	 。
les 	 接地线
fils 	 接地线
enterré 	 埋
Après 	 后
, 	 ，
les 	 接地
terre 	 接地
résistances 	 电阻
correctement 	 总足
parvenaient 	 达
pas 	 不
à 	 到
. 	 ；
Les 	 把
être 	 把
terre 	 接地
profondément 	 深
enterrés 	 埋
pas 	 不行
, 	 ，
car 	 因为
la 	 这种
argile 	 胶泥层
couche 	 胶泥层
sur 	 对
fil 	 导线
fils 	 导线
avait 	 有
très 	 很
corrosif 	 强
effet 	 作用
qui 	 ，
temps 	 时间
finirait 	 长
bout 	 长
un 	 了
au 	 从
centrale 	 中部
terre 	 地
corroder 	 蚀
. 	 。
finalement 	 最后
fil 	 接地线
depuis 	 从
falaise 	 悬崖
de 	 上
tendre 	 垂
et 	 ，
dessous 	 沿着
de 	 沿着
jusqu' 	 一直
en 	 一直
passer 	 垂
argile 	 胶泥层
couche 	 胶泥层
la 	 的
faire 	 将
électrique 	 电极
pôle 	 电极
enterré 	 埋设
à 	 在
falaise 	 崖壁
de 	 上
cette 	 那个
même 	 即使
Mais 	 即使
ainsi 	 这样
fil 	 接地
toujours 	 仍然
pas 	 不
stable 	 稳定
, 	 ，
et 	 ，
résistance 	 电阻
souvent 	 常常
dépassait 	 超标
. 	 。
problèmes 	 问题
venaient 	 出
de 	 在
suspendu 	 接地线
fil 	 接地线
le 	 在
falaise 	 悬崖壁
long 	 上
la 	 的
partie 	 部分
. 	 ，
Par 	 这时
réparation 	 维修
techniciens 	 人员
devaient 	 就要
descendre 	 吊
rappel 	 吊
en 	 下去
. 	 。
Le 	 那
technicien 	 技术员
a 	 就
long 	 外围
maintenance 	 维修班
équipe 	 维修班
appelé 	 打招呼
et 	 ，
un 	 一
soldat 	 战士
à 	 在
un 	 一
fer 	 铁柱
pilier 	 铁柱
corde 	 绳索
avant 	 就
accroché 	 顺着
de 	 顺着
paroi 	 壁
descendre 	 下去
a 	 了
en 	 在
bas 	 下面
remonter 	 折脯
demi-heure 	 半
une 	 个
avant 	 ，
plein 	 满头大汗
sueur 	 满头大汗
en 	 ，
disant 	 说
trouvé 	 找
pas 	 不
n' 	 到
du 	 到
problème 	 故障
. 	 。
La 	 这次
prochaine 	 这次
surveillance 	 监听
opération 	 作业
allait 	 就
être 	 受到
impactée 	 影响
et 	 ，
dû 	 只好
prévenir 	 上报
base 	 基地
commandes 	 指挥部
centre 	 指挥部
. 	 。
j' 	 我
falaise 	 悬崖
accrochée 	 系
corde 	 绳索
la 	 的
du 	 的
pilier 	 柱
près 	 旁
attendais 	 等
, 	 ，
. 	 ，
tout 	 事情
comme 	 如
je 	 我
prévu 	 预料
, 	 ，
Lei 	 雷志成
Zhicheng 	 雷志成
revenu 	 跟着
avec 	 跟着
le 	 那
soldat 	 战士
est 	 了
. 	 。
dois 	 应该
préciser 	 说
que 	 ，
Lei 	 雷志成
Zhicheng 	 雷志成
était 	 是
quelqu' 	 一
un 	 一
très 	 很
dévoué 	 敬业
de 	 的
politiques 	 政工
. 	 ，
pieusement 	 忠实
suivait 	 按照
l' 	 那时
époque 	 那时
par 	 对
qui 	 的
exigé 	 要求
était 	 去
masse 	 群众
mêler 	 打
à 	 一
et 	 ，
placer 	 站
en 	 在
première 	 第一线
ligne 	 第一线
. 	 。
peut-être 	 许
était 	 是
hypocrite 	 姿态
, 	 ，
mais 	 但
il 	 他
faisait 	 做
très 	 很
bien 	 好
. 	 。
difficile 	 难
périlleuse 	 重
une 	 的
tâche 	 工作
Dès 	 中
acceptait 	 了
de 	 的
, 	 ，
Bien 	 以往
souvent 	 以往
il 	 他
porter 	 干
, 	 ，
comme 	 就
, 	 是
entretien 	 抢修
terre 	 接地线
des 	 这个
l' 	 这个
dangereuses 	 危险
et 	 又
fatigantes 	 累
de 	 的
la 	 的
. 	 。
Ce 	 这
travail 	 工作
pas 	 没有
requérait 	 没有
particulières 	 多
de 	 的
techniques 	 技术
mais 	 但
nécessitait 	 需要
expérience 	 经验
, 	 ，
car 	 因为
dysfonctionnement 	 故障
pouvait 	 可能
par 	 因
fil 	 接地线
exposition 	 暴露
libre 	 露天
air 	 露天
provoqué 	 产生
un 	 的
difficile 	 难以
à 	 难以
détecter 	 察觉
contact 	 接触
faux 	 不
, 	 ，
ou 	 也
peut-être 	 可能
que 	 因为
électrique 	 电极
pôle 	 电极
enterré 	 埋设处
endroit 	 埋设处
était 	 因
sec 	 干燥
trop 	 差
. 	 ，
formaient 	 负责
base 	 外围
réparation 	 维修
Les 	 的
qui 	 的
volontaires 	 志愿兵
soldats 	 志愿兵
nouveaux 	 调换
et 	 ，
étaient 	 都
n' 	 没有
avaient 	 没有
une 	 没有
expérience 	 经验
Je 	 我
savais 	 估计
les 	 他
grandes 	 多半
prendre 	 来
. 	 。
Il 	 他
descendre 	 顺着
de 	 顺着
paroi 	 绳索
, 	 ，
comme 	 好像
je 	 我
n' 	 不
pas 	 不
existais 	 存在
. 	 。
J' 	 我
trouvé 	 借口
prétexte 	 借口
le 	 那
soldat 	 战士
partir 	 走
ai 	 了
et 	 ，
falaise 	 悬崖
bord 	 顶上
seule 	 只
rester 	 剩下
ma 	 我
. 	 ，
J' 	 我
de 	 从
veste 	 衣袋
poche 	 衣袋
la 	 中
de 	 中
sorti 	 掏
une 	 一
. 	 ，
C' 	 那
était 	 是
une 	 一
longue 	 短
scie 	 钢锯
lames 	 锯条
rétractables 	 折
aux 	 成
sur 	 成
trois 	 三
corde 	 段
entailles 	 叠
que 	 ，
penser 	 看
jamais 	 不
un 	 是
sabotage 	 锯
. 	 。
C' 	 正在
à 	 正在
ce 	 这时
moment 	 这时
-là 	 这时
mon 	 我
époux 	 丈夫
Yang 	 杨卫宁
Weining 	 杨卫宁
arrivé 	 来
est 	 了
. 	 。
expliqué 	 问清
situation 	 事情
la 	 的
Après 	 后
, 	 ，
il 	 他
en 	 向
falaise 	 悬崖
bas 	 下
regardé 	 看
a 	 了
, 	 ，
et 	 ，
dit 	 说
pour 	 要是
vérifier 	 检查
électrique 	 电极
pôle 	 电极
l' 	 的
fallait 	 需要
creuser 	 开挖
. 	 ，
vieux 	 老雷
Lei 	 老雷
n' 	 一个
y 	 下面
pas 	 太
seul 	 费劲
. 	 。
Il 	 他
décidé 	 要
descendre 	 下去
prêter 	 帮忙
alors 	 于是
enfilé 	 系
le 	 那
soldat 	 战士
laissé 	 留下
le 	 的
forte 	 安全带
harnais 	 安全带
. 	 。
Je 	 我
autre 	 再
prendre 	 拿
une 	 一
corde 	 绳索
, 	 ，
il 	 他
dit 	 说
pas 	 不
nécessaire 	 用
, 	 ，
celle-ci 	 这
corde 	 绳子
était 	 就
suffisamment 	 挺
épaisse 	 粗
et 	 挺
résistante 	 结实
pour 	 ，
supporter 	 承带
deux 	 两
hommes 	 人
sans 	 没
problème 	 问题
. 	 。
J' 	 我
insisté 	 坚持
de 	 要
et 	 ，
il 	 他
envoyé 	 说
m' 	 你
chercher 	 去
. 	 。
alors 	 等
je 	 我
hâte 	 急
revenais 	 跑
nouvelle 	 另
une 	 一
corde 	 绳索
vers 	 回到
falaise 	 悬崖
, 	 ，
il 	 他
déjà 	 早顺
descendu 	 早顺
de 	 着
celle 	 那
était 	 了
. 	 。
je 	 我
baissant 	 探头
tête 	 探头
la 	 向
vus 	 看
, 	 ，
ils 	 他
venaient 	 已经
de 	 已经
vérification 	 检查
terminer 	 完毕
et 	 ，
étaient 	 正
de 	 向上
remonter 	 爬
. 	 ，
Lei 	 雷志成
Zhicheng 	 雷志成
était 	 在
devant 	 前
. 	 。
n' 	 不会
aurais 	 不会
autre 	 再
eu 	 有
occasion 	 机会
. 	 ，
Je 	 我
J' 	 我
sorti 	 掏
mon 	 那
outil 	 钢锯
et 	 ，
scié 	 锯
ai 	 了
corde 	 绳索
. 	 。
ENQUÊTEUR 	 审问者
Je 	 我
poser 	 问
une 	 一
question 	 句
, 	 ，
réponse 	 回答
pas 	 不
figurera 	 记录
. 	 。
-vous 	 你
ce 	 当时
moment 	 当时
-là 	 当时
Quel 	 的
sentiment 	 感受
? 	 ？
YE 	 叶文洁
WENJIE 	 叶文洁
- 	 不
froid 	 动
avec 	 地
agi 	 做
ai 	 了
. 	 。
J' 	 我
trouvé 	 找到
pouvais 	 能够
à 	 为
me 	 之
dévouer 	 献身
une 	 的
mission 	 事业
payer 	 付出
le 	 的
tribut 	 代
, 	 ，
peu 	 不
importe 	 管
. 	 。
Je 	 我
toute 	 也
savais 	 知道
que 	 ，
entière 	 全人类
humanité 	 全人类
en 	 这个
prix 	 事业
paierait 	 付出
façon 	 史无前例
le 	 的
sacrifice 	 牺牲
. 	 ，
Ce 	 这
n' 	 仅仅
qu' 	 仅仅
était 	 是
une 	 一个
bagatelle 	 微不足道
premier 	 开始
. 	 。
ENQUÊTEUR 	 审问者
Bien 	 好
. 	 ，
Poursuivez 	 继续
. 	 。
YE 	 叶文洁
WENJIE 	 叶文洁
entendu 	 听到
deux 	 两三
trois 	 两三
de 	 的
cris 	 惊叫
surprise 	 惊叫
, 	 ，
puis 	 然后
le 	 是
corps 	 身体
fracassant 	 摔
contre 	 到
rochers 	 崖底
bruit 	 声音
. 	 ，
attendu 	 等
encore 	 了
un 	 一会儿
moment 	 一会儿
et 	 ，
j' 	 我
vu 	 看到
que 	 看到
au 	 从
falaise 	 崖底
pied 	 崖底
coulait 	 流出
qui 	 的
le 	 那
ruisseau 	 小溪
empourpré 	 变
était 	 了
… 	 …
sur 	 关于
cette 	 这
affaire 	 事
j' 	 我
avais 	 能
dire 	 说
ce 	 的
Voilà 	 就
